,wage_total,hh,bs_profit,other_inc,
307,,H06607-04-01,0.0,0.0,0.0
308,,H06608-04-01,0.0,360000.0,139.1632423489209
309,,H06609-04-01,77.31291241606718,0.0,0.0
310,,H06701-04-01,3.8656456208033587,0.0,0.0
311,,H06702-04-01,2462.4162604517396,0.0,0.0
312,,H06703-04-01,7.731291241606717,0.0,0.0
313,,H06704-04-01,137.23041953851924,0.0,0.0
314,,H06706-04-01,0.0,0.0,0.0
315,,H06707-04-01,0.0,0.0,0.0
316,,H06707-04-02,57.98468431205038,0.0,0.0
317,23.19387372482015,H06708-04-01,0.0,0.0,0.0
318,,H06709-04-01,0.0,0.0,0.0
319,,H06710-04-01,7.731291241606717,0.0,0.0
320,154.62582483213436,H06801-04-01,0.0,0.0,0.0
321,2052.6578246465833,H06802-04-01,100.50678614088733,0.0,0.0
322,,H06803-04-01,3.8656456208033587,0.0,0.0
323,2087.4486352338135,H06805-04-01,0.0,0.0,0.0
324,,H06806-04-01,19.328228104016794,0.0,0.0
325,742.2039591942448,H06807-04-01,0.0,0.0,0.0
326,98.96052789256598,H06810-04-01,0.0,0.0,0.0
327,359.50504273471233,H06810-04-02,65.7159755536571,3600000.0,1391.632423489209
328,,H06901-04-01,0.0,500000.0,193.28228104016793
329,1883.3425464553964,H06902-04-01,38.65645620803359,0.0,0.0
330,386.56456208033586,H06903-04-01,28.99234215602519,0.0,0.0
331,,H06906-04-01,0.0,0.0,0.0
332,,H06908-04-01,0.0,0.0,0.0
333,927.7549489928061,H06909-04-01,30.92516496642687,0.0,0.0
334,560.518615016487,H06911-04-01,0.0,0.0,0.0
335,463.87747449640307,H06911-04-03,0.0,0.0,0.0
336,927.7549489928061,H06914-04-01,0.0,0.0,0.0
337,2588.436307689929,H07002-04-02,13.529759672811755,0.0,0.0
338,1901.8976454352526,H07003-04-01,0.0,650000.0,251.2669653522183
339,1600.3772870125904,H07007-04-01,0.0,0.0,0.0
340,2783.264846978418,H07007-04-02,173.95405293615113,0.0,0.0
341,540.4172577883095,H07008-04-01,67.64879836405878,720000.0,278.3264846978418
342,,H07009-04-01,15.076017921133099,0.0,0.0
343,,H07010-04-01,96.64114052008397,0.0,0.0
344,,H07201-04-01,131.4319511073142,0.0,0.0
345,,H07202-04-01,160.4242932633394,0.0,0.0
346,,H07202-04-02,93.16205946136094,0.0,0.0
347,55.665296939568364,H07203-04-01,0.0,0.0,0.0
348,,H07204-04-01,0.0,0.0,0.0
349,,H07205-04-01,0.0,0.0,0.0
350,,H07206-04-01,299.5875356122603,0.0,0.0
351,,H07207-04-01,0.0,0.0,0.0
352,81.17855803687053,H07208-04-01,9.664114052008397,0.0,0.0
353,324.7142321474821,H07208-04-02,0.0,0.0,0.0
354,23.19387372482015,H07209-04-01,0.0,0.0,0.0
355,,H07210-04-01,0.0,0.0,0.0
356,927.7549489928061,H07302-04-01,115.96936862410077,0.0,0.0
357,556.6529693956836,H07303-04-01,3.8656456208033587,0.0,0.0
358,,H07304-04-01,0.0,0.0,0.0
359,927.7549489928061,H07304-04-02,0.0,0.0,0.0
360,,H07305-04-01,0.0,0.0,0.0
361,,H07306-04-01,16.62227616945444,0.0,0.0
362,,H07307-04-01,3.092516496642687,0.0,0.0
363,556.6529693956836,H07309-04-01,150.76017921133098,0.0,0.0
364,,H07310-04-01,7.731291241606717,0.0,0.0
